Element Label,S11,S22,S33,S12,S13,S23,Mises
429,7986.4663,50838.94,17643.729,-3169.8472,1080.547,752.7939,39384.0859375
430,-197054.0,-196196.61,-196326.34,-367.334,630.9051,766.8756,2000.98425292969
431,7686.585,40214.65,9896.718,7237.9863,-8396.852,-2536.8057,37135.7109375
432,-62801.953,-21413.283,-55739.867,4534.597,4337.2715,-947.2653,39892.609375
433,-1140.1025,-9473.449,-19465.38,-9057.797,16861.01,-7622.621,39062.4453125
434,23528.217,15184.054,30618.031,4724.008,-1141.5612,-3111.1028,16701.623046875
435,18358.182,4759.0854,-10016.276,640.5531,2973.3223,114.23683,25139.01953125
436,49068.453,38239.234,20469.06,15529.52,2763.3398,-192.22298,37040.5859375
437,-186.36914,9246.455,-24605.277,11873.273,4595.19,641.4669,37458.05859375
438,84728.74,57056.9,61756.203,-3217.8826,1094.0295,4345.992,27369.580078125
439,26081.918,38304.83,-1321.2305,-8445.611,-3440.68,-1863.8413,38667.81640625
440,50016.883,62140.63,62827.25,12348.105,-8833.421,-9763.309,33663.96875
441,5963.5054,-5069.5474,-4738.68,7042.442,10293.046,-5602.5967,26057.298828125
442,208.72656,-1938.9268,-1036.677,1022.8838,3994.8271,1910.0692,8090.03369140625
443,25484.547,19417.168,38340.598,20786.54,1776.9249,-2238.6768,40010.51953125
444,-5709.3115,-22709.16,-20406.588,-3252.9492,-5323.8223,-1835.1165,19545.6015625
445,46882.65,36530.0,11961.635,-12577.731,3267.0798,945.95264,38398.3515625
446,10068.844,6653.2095,-7146.2944,19420.822,-3686.7524,-1357.3688,37776.12890625
447,19307.412,13820.374,17466.666,17630.074,865.4507,11287.438,36610.3828125
448,33856.434,9834.038,11636.8545,-3152.5652,-2760.9426,-6145.1313,26513.958984375
449,9822.294,19567.338,29143.957,6578.549,-617.2751,-2804.7424,20846.505859375
450,37842.18,21309.844,-6736.097,-3915.705,-124.54271,-63.61821,39618.36328125
451,-14707.781,-30741.502,-35755.61,-3861.0464,-4854.3774,2405.176,22257.333984375
